Date,Product,Region,Units,Revenue,Cost
2024-01-05,Widget Pro,North America,45,2250.00,1125.00
2024-01-05,Gadget Plus,Europe,32,1600.00,800.00
2024-01-08,Smart Device,Asia Pacific,28,1400.00,700.00
2024-01-10,Widget Pro,Europe,38,1900.00,950.00
2024-01-12,Basic Kit,North America,65,1950.00,975.00
2024-01-15,Premium Bundle,Asia Pacific,22,2200.00,880.00
2024-01-18,Gadget Plus,North America,41,2050.00,1025.00
2024-01-20,Smart Device,Europe,35,1750.00,875.00
2024-01-22,Widget Pro,Asia Pacific,29,1450.00,725.00
2024-01-25,Basic Kit,Europe,58,1740.00,870.00
2024-01-28,Premium Bundle,North America,25,2500.00,1000.00
2024-02-01,Gadget Plus,Asia Pacific,37,1850.00,925.00
2024-02-05,Widget Pro,North America,52,2600.00,1300.00
2024-02-08,Smart Device,North America,44,2200.00,1100.00
2024-02-10,Basic Kit,Asia Pacific,61,1830.00,915.00
2024-02-12,Premium Bundle,Europe,19,1900.00,760.00
2024-02-15,Widget Pro,Europe,47,2350.00,1175.00
2024-02-18,Gadget Plus,North America,39,1950.00,975.00
2024-02-20,Smart Device,Asia Pacific,31,1550.00,775.00
2024-02-22,Basic Kit,North America,72,2160.00,1080.00
